State,Year,"Land Value (Per Acre, As-Is)","Land Value (1/4 Acre Lot, Standardized)"
AK,2012,187700,68500
AK,2013,197100,71900
AK,2014,197500,72100
AK,2015,226100,82500
AK,2016,226200,82500
AK,2017,220200,80400
AK,2018,228100,83200
AK,2019,227000,82800
AL,2012,60800,29400
AL,2013,63400,30700
AL,2014,62100,30000
AL,2015,68500,33100
AL,2016,73600,35600
AL,2017,81400,39300
AL,2018,91400,44200
AL,2019,105200,50900
AR,2012,52900,24700
AR,2013,54500,25400
AR,2014,51500,24100
AR,2015,57500,26900
AR,2016,64300,30000
AR,2017,71300,33300
AR,2018,77600,36200
AR,2019,87200,40700
AZ,2012,165500,44100
AZ,2013,273800,73000
AZ,2014,307200,81900
AZ,2015,348500,92900
AZ,2016,401200,106900
AZ,2017,459600,122500
AZ,2018,530900,141500
AZ,2019,601400,160300
CA,2012,1143000,239200
CA,2013,1505200,315000
CA,2014,1720800,360100
CA,2015,1917900,401400
CA,2016,2092700,438000
CA,2017,2308200,483000
CA,2018,2664800,557700
CA,2019,2787900,583400
CO,2012,320200,81200
CO,2013,375800,95300
CO,2014,429800,109000
CO,2015,537600,136300
CO,2016,649500,164700
CO,2017,759800,192700
CO,2018,874700,221800
CO,2019,937600,237800
CT,2012,230800,109600
CT,2013,236200,112100
CT,2014,231700,110000
CT,2015,234100,111200
CT,2016,236500,112300
CT,2017,244200,115900
CT,2018,256700,121900
CT,2019,265000,125900
DC,2012,3457100,352100
DC,2013,3903900,397600
DC,2014,4167500,424500
DC,2015,4551300,463500
DC,2016,4861600,495200
DC,2017,5367700,546700
DC,2018,6041100,615300
DC,2019,6316400,643300
DE,2012,204400,74300
DE,2013,208900,75900
DE,2014,216200,78600
DE,2015,230700,83800
DE,2016,257200,93500
DE,2017,271800,98800
DE,2018,277100,100700
DE,2019,300000,109000
FL,2012,203200,55400
FL,2013,264600,72100
FL,2014,310100,84500
FL,2015,361800,98600
FL,2016,421300,114900
FL,2017,484400,132100
FL,2018,542700,147900
FL,2019,584000,159200
GA,2012,78700,31000
GA,2013,100900,39800
GA,2014,119700,47100
GA,2015,138300,54500
GA,2016,161600,63700
GA,2017,188100,74100
GA,2018,219600,86500
GA,2019,246700,97200
HI,2012,1624000,346200
HI,2013,1836100,391400
HI,2014,2055600,438200
HI,2015,2212200,471600
HI,2016,2370700,505400
HI,2017,2556400,545000
HI,2018,2702000,576000
HI,2019,2757000,587700
IA,2012,104200,32700
IA,2013,109100,34200
IA,2014,107400,33700
IA,2015,121600,38200
IA,2016,138300,43400
IA,2017,151500,47600
IA,2018,166200,52200
IA,2019,175900,55200
ID,2012,135900,46900
ID,2013,182400,62900
ID,2014,198600,68500
ID,2015,228200,78700
ID,2016,266300,91900
ID,2017,315900,109000
ID,2018,395900,136600
ID,2019,473100,163300
IL,2012,251200,63400
IL,2013,276800,69900
IL,2014,313400,79100
IL,2015,343600,86700
IL,2016,381600,96300
IL,2017,418100,105500
IL,2018,445900,112500
IL,2019,459800,116000
IN,2012,79900,26600
IN,2013,84500,28100
IN,2014,87400,29100
IN,2015,97200,32400
IN,2016,110400,36800
IN,2017,124700,41500
IN,2018,155800,51900
IN,2019,179300,59700
KS,2012,93100,27000
KS,2013,98600,28600
KS,2014,97100,28200
KS,2015,107400,31200
KS,2016,125600,36400
KS,2017,147300,42700
KS,2018,171400,49700
KS,2019,188000,54500
KY,2012,100900,34000
KY,2013,99100,33400
KY,2014,97600,32900
KY,2015,114100,38400
KY,2016,126100,42500
KY,2017,159100,53600
KY,2018,188900,63700
KY,2019,216500,72900
LA,2012,191200,58100
LA,2013,203400,61800
LA,2014,213900,65000
LA,2015,234600,71300
LA,2016,253800,77100
LA,2017,282000,85700
LA,2018,309700,94100
LA,2019,327400,99500
MA,2012,491400,159900
MA,2013,538700,175300
MA,2014,577600,187900
MA,2015,630400,205100
MA,2016,683200,222300
MA,2017,760100,247300
MA,2018,838200,272800
MA,2019,885600,288200
MD,2012,392300,112700
MD,2013,423400,121600
MD,2014,429600,123400
MD,2015,449300,129100
MD,2016,472300,135700
MD,2017,504200,144900
MD,2018,544600,156400
MD,2019,574400,165000
ME,2012,116600,69300
ME,2013,123300,73300
ME,2014,112500,66800
ME,2015,120500,71600
ME,2016,129500,76900
ME,2017,148300,88100
ME,2018,167700,99700
ME,2019,186000,110500
MI,2012,97900,33400
MI,2013,122400,41800
MI,2014,145500,49600
MI,2015,166100,56700
MI,2016,190100,64900
MI,2017,218800,74600
MI,2018,251500,85800
MI,2019,275500,94000
MN,2012,181100,61100
MN,2013,213100,71900
MN,2014,233300,78700
MN,2015,256300,86500
MN,2016,284200,95900
MN,2017,319400,107800
MN,2018,357700,120700
MN,2019,383400,129400
MO,2012,102400,29400
MO,2013,110400,31700
MO,2014,118500,34000
MO,2015,132300,38000
MO,2016,155100,44500
MO,2017,180400,51800
MO,2018,209500,60200
MO,2019,230500,66200
MS,2012,47200,22500
MS,2013,48400,23100
MS,2014,46900,22400
MS,2015,52500,25000
MS,2016,59200,28200
MS,2017,66000,31400
MS,2018,69900,33300
MS,2019,72100,34400
MT,2012,138800,53400
MT,2013,155800,59900
MT,2014,165800,63800
MT,2015,186000,71600
MT,2016,203500,78300
MT,2017,226000,87000
MT,2018,255800,98400
MT,2019,282800,108800
NC,2012,96700,41200
NC,2013,98600,42000
NC,2014,100700,42900
NC,2015,113900,48500
NC,2016,130900,55800
NC,2017,149200,63600
NC,2018,170500,72600
NC,2019,192500,82000
ND,2012,129400,40000
ND,2013,165400,51100
ND,2014,206200,63700
ND,2015,236500,73100
ND,2016,226500,70000
ND,2017,238200,73600
ND,2018,235500,72800
ND,2019,252600,78100
NE,2012,115100,28900
NE,2013,122700,30800
NE,2014,129500,32500
NE,2015,145600,36600
NE,2016,165500,41600
NE,2017,192800,48400
NE,2018,226800,56900
NE,2019,252200,63300
NH,2012,124900,83100
NH,2013,132200,88000
NH,2014,138400,92100
NH,2015,150800,100300
NH,2016,162200,107900
NH,2017,181100,120500
NH,2018,202400,134700
NH,2019,219600,146100
NJ,2012,594200,149300
NJ,2013,613900,154300
NJ,2014,630000,158300
NJ,2015,654700,164500
NJ,2016,674800,169600
NJ,2017,713700,179300
NJ,2018,781400,196300
NJ,2019,841300,211400
NM,2012,164900,54300
NM,2013,163400,53800
NM,2014,161100,53100
NM,2015,166900,55000
NM,2016,177000,58300
NM,2017,200600,66000
NM,2018,239400,78800
NM,2019,272900,89800
NV,2012,137400,33300
NV,2013,278100,67400
NV,2014,353500,85700
NV,2015,420700,102000
NV,2016,481000,116600
NV,2017,584300,141600
NV,2018,731700,177300
NV,2019,805900,195300
NY,2012,1391100,241900
NY,2013,1455500,253100
NY,2014,1523100,264900
NY,2015,1634600,284200
NY,2016,1745900,303600
NY,2017,1886600,328100
NY,2018,2069600,359900
NY,2019,2204000,383300
OH,2012,101300,31800
OH,2013,105200,33000
OH,2014,112500,35300
OH,2015,124700,39200
OH,2016,136100,42700
OH,2017,152100,47700
OH,2018,174800,54900
OH,2019,196700,61700
OK,2012,93300,28000
OK,2013,96700,29000
OK,2014,100000,30000
OK,2015,105400,31600
OK,2016,115100,34500
OK,2017,127400,38200
OK,2018,135800,40800
OK,2019,152800,45900
OR,2012,317600,85500
OR,2013,388800,104700
OR,2014,437300,117700
OR,2015,508000,136800
OR,2016,603200,162400
OR,2017,703600,189400
OR,2018,794000,213700
OR,2019,860900,231800
PA,2012,197600,45400
PA,2013,197300,45300
PA,2014,192600,44200
PA,2015,210000,48200
PA,2016,225900,51900
PA,2017,249900,57400
PA,2018,283900,65200
PA,2019,322500,74100
RI,2012,248900,86100
RI,2013,268500,92900
RI,2014,279500,96700
RI,2015,301500,104300
RI,2016,333400,115300
RI,2017,375900,130000
RI,2018,428400,148200
RI,2019,457000,158100
SC,2012,100000,40400
SC,2013,106000,42800
SC,2014,109600,44300
SC,2015,123200,49800
SC,2016,137200,55400
SC,2017,165100,66700
SC,2018,187900,75900
SC,2019,210500,85000
SD,2012,106200,34400
SD,2013,115700,37500
SD,2014,120100,38900
SD,2015,148600,48100
SD,2016,179100,58000
SD,2017,195700,63400
SD,2018,222800,72200
SD,2019,245200,79400
TN,2012,86800,34200
TN,2013,92900,36600
TN,2014,103400,40700
TN,2015,118600,46700
TN,2016,137600,54200
TN,2017,162300,63900
TN,2018,187400,73800
TN,2019,214900,84700
TX,2012,158600,43800
TX,2013,182600,50400
TX,2014,212900,58800
TX,2015,250800,69300
TX,2016,284300,78500
TX,2017,317400,87600
TX,2018,365100,100800
TX,2019,392800,108500
UT,2012,266200,75800
UT,2013,325300,92600
UT,2014,350100,99700
UT,2015,395000,112500
UT,2016,451600,128600
UT,2017,530500,151000
UT,2018,637600,181600
UT,2019,705800,201000
VA,2012,406700,111800
VA,2013,433700,119200
VA,2014,441500,121400
VA,2015,461200,126800
VA,2016,479900,131900
VA,2017,503900,138500
VA,2018,546200,150100
VA,2019,583700,160400
VT,2012,154600,71800
VT,2013,159500,74100
VT,2014,155400,72200
VT,2015,155900,72400
VT,2016,166500,77300
VT,2017,187400,87000
VT,2018,177000,82200
VT,2019,196400,91200
WA,2012,352300,108100
WA,2013,400900,123000
WA,2014,447100,137200
WA,2015,522500,160300
WA,2016,617100,189400
WA,2017,734600,225400
WA,2018,856500,262800
WA,2019,925000,283800
WI,2012,132600,45600
WI,2013,136200,46900
WI,2014,139400,47900
WI,2015,151100,51900
WI,2016,170200,58500
WI,2017,198400,68200
WI,2018,225600,77600
WI,2019,251900,86600
WV,2012,60800,26900
WV,2013,65400,28900
WV,2014,67500,29900
WV,2015,77700,34400
WV,2016,83600,37000
WV,2017,84200,37200
WV,2018,92500,40900
WV,2019,104500,46200
WY,2012,200700,61700
WY,2013,215000,66100
WY,2014,223600,68700
WY,2015,259600,79800
WY,2016,259000,79600
WY,2017,266600,82000
WY,2018,286700,88100
WY,2019,329800,101400
